chr12	9220303	9268515
chr8	18248791	18258728
chr1	76190393	76229364
chr12	121163628	121177811
chr17	7123256	7128585
chr11	107992293	108018330
chr12	52301287	52317145
chr14	73603214	73690399
chr20	43248162	43280340
chr17	48243365	48253289
chr8	37820507	37824117
chr22	40742503	40765371
chr22	40742503	40765371
chr4	178351927	178363591
chr1	100316044	100389579
chr2	241808240	241819917
chr9	116148591	116163564
chrX	55035487	55057410
chrX	152990310	153010209
chrX	152990310	153010209
chr9	104182841	104198056
chr1	115215718	115238167
chr8	41510743	41655140
chr5	112073581	112181936
chr11	116700622	116703788
chr10	90750554	90776816
chrX	66763862	66950461
chr6	131894365	131905469
chr5	78073031	78281133
chrX	2852561	2882382
chr17	3379290	3406699
chr9	133320093	133376661
chr11	108093793	108239829
chrX	77166189	77305892
chr13	52506804	52585586
chrX	153170167	153172620
chr6	80816387	81055987
chr15	91260576	91359396
chr13	32889644	32974405
chrX	100604437	100641179
chr11	57365157	57382321
chr6	31895493	31913449
chr19	6677714	6720661
chr5	41142217	41213634
chr1	57394879	57431688
chr8	86376235	86393722
chr19	13317255	13617293
chr1	201008639	201081554
chr15	42651698	42704515
chr21	44473300	44495945
chr7	80267831	80303736
chr11	118215058	118225876
chrX	135730316	135742549
chr12	58141509	58146093
chr11	2904447	2906995
chr9	21967750	21974856
chr16	56995861	57017757
chr2	175612319	175629200
chr17	4801065	4806393
chr1	235824340	236030206
chr5	60162280	60240897
chr7	143013203	143049176
chrX	49832242	49863887
chr1	16370276	16383803
chr16	28488599	28503403
chr4	47937993	48014962
chr7	94024206	94060539
chr2	189839098	189877472
chr2	228029339	228179508
chr2	227867429	228028921
chr9	137533648	137736689
chr3	48601505	48632762
chr19	18893582	18902114
chr3	148890283	148939616
chr3	98298289	98312455
chr1	53662495	53679869
chr20	23614293	23618592
chr21	45193830	45196189
chr10	104590287	104597170
chr15	51500253	51630793
chr2	38294651	38303293
chr22	42522500	42526812
chr11	47236524	47260768
chr7	107531627	107561643
chrX	31137338	33357505
chr1	97543298	98386590
chr7	107405913	107443668
chr5	149340320	149366963
chr9	132575220	132586415
chr13	78469621	78549662
chrX	153639874	153650065
chrX	153607654	153609883
chr9	130577290	130617052
chr15	43489424	43513216
chr19	11487882	11494990
chr2	128014865	128051720
chr13	103498381	103528345
chr10	50662515	50747167
chr15	76507693	76603810
chr8	118806728	119124065
chr4	187187342	187210835
chr6	6144316	6320895
chr1	169481188	169555719
chr13	113760101	113774995
chrX	154064066	154250998
chrX	138612897	138645618
chr16	89803956	89883055
chr16	89803956	89883055
chr9	97861335	98079991
chr15	48700509	48937906
chr11	59856136	59865940
chr11	59856136	59865940
chr18	55211608	55253934
chr10	123237845	123357958
chr4	1795019	1810594
chr1	241660902	241683055
chr9	71650667	71693992
chr2	49189295	49381654
chr19	49468565	49470136
chr1	24171566	24194780
chr19	5830418	5838803
chr17	41052815	41066455
chr17	78075379	78093680
chr14	88399357	88459526
chr17	73753974	73761273
chr9	34646671	34651032
chr19	1397024	1401541
chr1	155204242	155211040
chr3	81538853	81810796
chr19	13001973	13010813
chr17	79762025	79771884
chr14	55308734	55369544
chr7	44183873	44229038
chr7	44183873	44229038
chr5	42423540	42721980
chr6	121756791	121770873
chrX	70443073	70445366
chr7	42000546	42276808
chrX	100652790	100662913
chr9	6532466	6645729
chr5	151202073	151304412
chr3	50229042	50235129
chr17	4835571	4838318
chr3	128779621	128781249
chr19	34856100	34893318
chr9	124062108	124095120
chr20	33516234	33543609
chr2	48010283	48034092
chr17	7905932	7923660
chr7	65425670	65447200
chr2	26413503	26467500
chr2	26413503	26467500
chr2	26467806	26513333
chr11	5274417	5276011
chr22	21128400	21142008
chr1	196621172	196716634
chr1	196621172	196716634
chr3	120347018	120401086
chr10	71078602	71161638
chr11	118955590	118964259
chr1	24128374	24151919
chr12	114791734	114846247
chr7	155592673	155605157
chrX	133594194	133634698
chr10	100175954	100206692
chr16	67465023	67471456
chr9	98997587	99064458
chr1	119957772	119965657
chr17	78183074	78194132
chr19	10381795	10397291
chrX	148558518	148586836
chr4	980831	998352
chr4	110661850	110723155
chrX	70327253	70331427
chr19	7112275	7294425
chr13	28494136	28500450
chr2	173292313	173371187
chr21	46305867	46340814
chr17	73717538	73753899
chr19	17935590	17958791
chrX	8496914	8700178
chr12	5019070	5027422
chr11	2466237	2870335
chr21	35818987	35884508
chr11	128707914	128712364
chr2	27309639	27323630
chr4	55524123	55606881
chr17	39017554	39023475
chr12	53342901	53346690
chr17	39722087	39728311
chr18	21452983	21535030
chr1	209788214	209825770
chr16	67973652	67978023
chr7	127881330	127897682
chr13	23755117	23899301
chr4	52886871	52904465
chr2	48913912	48982863
chr19	48618701	48673601
chr10	90973328	91011532
chr15	58724189	58862043
chr15	58724189	58862043
chr7	150642048	150675409
chr12	69742160	69748014
chr10	54525139	54531412
chr16	3292026	3306633
chr11	64570985	64578188
chr7	116312249	116438431
chr16	10971058	11030251
chr3	69985742	70017483
chr3	37035008	37092337
chr17	56347215	56358296
chr2	47630294	47710362
chrX	149737070	149841616
chr4	100485286	100545154
chr1	236958591	237067281
chr6	49398072	49430966
chr11	47352956	47374253
chr14	23881948	23904869
chr3	46899361	46904934
chr15	52599479	52821247
chr11	76839291	76926286
chr1	171604556	171621828
chr22	42454337	42466816
chr17	40688258	40696467
chr9	98205261	98271548
chr7	74188308	74203720
chrX	43808021	43832636
chr17	29421944	29704695
chr22	29999621	30094587
chr17	49230919	49239529
chr14	20937564	20945248
chr18	21111405	21166470
chr2	110880924	110962590
chrX	9693385	9733887
chr10	126085871	126107492
chr15	28000020	28344461
chrX	128674235	128726533
chr12	103230666	103311022
chr10	102505338	102589701
chr11	31810573	31832563
chr10	72643266	72648322
chr13	100741346	101182689
chr4	619361	664571
chrX	19362044	19379836
chr19	33877855	34012697
chr17	33901813	33905590
chr6	42931602	42946919
chr6	137143729	137235072
chr12	48513146	48540187
chr7	44102325	44105166
chrX	77359744	77384792
chrX	18910415	19002232
chr16	47495241	47735434
chr16	30759745	30772497
chr14	94843083	94854939
chr16	2138708	2185899
chr4	88928786	88998929
chr1	155259083	155271229
chr1	201252633	201302117
chr1	20301927	20306927
chr6	161123275	161175129
chr1	11994773	12035594
chr16	8891695	8943182
chr17	15133095	15168643
chr7	95034173	95064340
chr3	87308553	87325734
chrX	82763297	82767135
chr20	44519973	44527459
chr1	161136215	161141010
chr1	40538383	40562924
chr20	4667101	4682234
chr2	128176002	128186818
